199,0
427,0
642,0
858,0
1073,0
1288,0
1521,0
1738,0
1955,0
2172,0
2388,0
2605,0
2821,61
3037,61
3254,61
3470,61
3687,61
3903,61
4119,61
4336,61
4552,61
4769,61
4985,61
5202,61
5419,61
5635,61
5852,61
6068,61
6284,61
6501,61
6717,61
6933,61
7150,61
7366,61
7583,61
7799,61
8015,61
8232,63
8449,63
8665,68
8881,68
9098,68
9314,68
9531,68
9747,68
9963,68
10180,68
10396,68
10613,68
10829,68
11047,68
11263,68
11480,69
11696,69
11912,69
12129,71
12345,71
12562,77
12784,77
13001,81
13217,81
13433,89
13651,89
13867,89
14084,94
14300,94
14516,94
14733,94
14949,89
15183,89
15401,89
15618,89
15834,89
16050,81
16267,81
16483,81
16700,81
16916,81
17133,81
17349,81
17565,81
17782,81
17998,80
18216,80
18432,80
18648,80
18865,80
19081,79
19298,79
19514,79
19731,79
19947,76
20163,76
20380,76
20596,76
20813,72
21029,72
21247,72
21463,72
21679,69
21896,69
22112,69
22329,69
22545,65
22762,65
22978,65
23194,65
23411,64
23627,64
23848,64
24064,66
24281,66
24497,71
24713,78
24930,86
25146,86
25363,95
25579,104
25795,104
26012,116
26228,132
26445,132
26661,146
26879,172
27095,193
27311,193
27528,193
27744,193
27961,165
28177,165
28394,165
28610,165
28845,146
29062,146
29278,139
29495,139
29711,134
29928,134
30144,134
30361,134
30577,128
30793,128
31010,126
31226,126
31444,124
31660,124
31876,124
32093,124
32310,111
32526,111
32742,111
32959,102
33175,102
33391,102
33608,102
33825,104
34045,104
34261,104
34478,106
34694,106
34911,106
35127,102
35344,102
35560,105
35777,105
35993,110
36209,110
36426,110
36642,105
36860,105
37076,107
37293,119
37509,131
37725,131
37942,131
38158,134
38375,134
38591,134
38808,138
39024,150
39240,150
39457,150
39673,150
39891,138
40107,138
40324,134
40540,133
40756,133
40973,133
41189,133
41406,127
41622,127
41839,127
42055,118
42271,118
42507,114
42724,114
42940,112
43156,112
43373,112
43589,110
43806,110
44022,110
44243,110
44459,111
44675,111
44892,111
45108,111
45325,109
45541,109
45758,108
45974,108
46191,107
46407,107
